ID;Reference;Designation;Mill;Coul;Cond;Cont;
1222;090021;DOMAINE SANTE AC MOULIN A VENT;2002;RGE;x 6;75 cl;
1223;090030;CHRISTIAN BERNARD AC FLEURIE;2002;RGE;x 6;75 cl;
1224;090031;CHRISTIAN BERNARD AC FLEURIE;2002;RGE;x 6;37.5 cl;
1225;040009CB;AOP COTES DE BOURG BEL AIR CAISSE BOIS;2011;RGE;x 3 CB;75 cl;1
1226;019002;CHATEAU LES HAUTS DE PEREY AOP BORDEAUX SUPERIEUR;2003;RGE;x 6;75 cl;
1227;007007;AOP RIESLING;2001;BLC;x 6;75 cl;
1228;042024;SCEAU DU PRINCE AOP COTES DU RHONE;2003;RGE;x 6;75 cl;
1229;042027;SCEAU DU PRINCE AOP COTES DU RHONE;2003;RGE;x 12;37.5 cl;
1230;042098;BLASON DU PRINCE AOP CHATEAUNEUF DU PAPE;2003;RGE;x 6;75 cl;
1231;028004;CHATEAU LES BERTRANDS AOP 1ERES COTES DE BLAYE TRADITION;2003;BLC;x 6;75 cl;
1232;029011;DOMAINE BELLE MARE IGP COLLINES DE LA MOURE;2003;RGE;x 6;75 cl;
1233;026700;VIGN S-BEL AC COTEAUX DU LYONNAIS;0;RSE;x 1;B10L;
1234;089800;AOP SAUMUR BRUT DOMAINE DE LA PALEINE;0;RSE;x 6;75 cl;
1235;007008;AOP RIESLING ;2011;BLC;x 12;37.5 cl;
1236;062023;AOP GRAVES PRESTIGE CARBON D'ARTIGUES;2005;RGE;x 6;75 cl;
1238;063092;CH NODOZ COTES DE BOURG;1990;RGE;x 6;150 cl;
1239;071900;VDT ROUGE 12 DEGRES CUVEE DES GOURMETS;2003;RGE;x 1;VRAC;
1240;071910;VDP OC MERLOT ROUGE 12 deg;2003;RGE;x 6;VRAC;
1241;071916;VDP ROUGE MERLOT 12deg DOMAINE LANDAU;2003;RGE;x 6;VRAC;
1242;006025;DOM GRANGE VDP JARDIN DE LA FRANCE GAMAY;2003;RGE;x 6;75 cl;
1243;031078;SAUMUR CHAMPIGNY CUV BAUNELLES DME BOIS JOLI;2003;RGE;x 6;75 cl;
1244;031079;SAUMUR CHAMPIGNY CUV BAUNELLES DME BOIS JOLI;2003;RGE;x 6;37.5 cl;
1245;087003;GERARD BIGONNEAU AC REUILLY BLANC LES BOUCHAUDS;2003;BLC;x 6;75 cl;
1246;087010;AOP QUINCY DOMAINE CHAGNAT;2003;BLC;x 6;75 cl;
1247;087011;GERARD BIGONNEAU QUINCY;2003;BLC;x 6;37.5 cl;
1248;011016;CUVEE 23 OCTOBRE AC VOUVRAY MOELLEUX 50 CL;2003;BLC;x 6;75 cl;
1249;019012;AOP BORDEAUX SUPERIEUR CHATEAU GAURY BALETTE;2005;RGE;x 6;150 cl;1
1250;025020;DOMAINE DES DEUX ROCHES POUILLY-FUISSE;2003;BLC;x 24;37.5 cl;
1251;090017;DME PRESSOIR FLEURI AC MORGON A.MEZIAT;2003;RGE;x 6;75 cl;
1252;076004;CH LA BONETIE AC BORDEAUX;2000;RGE;x 6;75 cl;
1253;071918;VDP OC RGE SYRAH 12deg;2003;RGE;x 6;VRAC;
1254;027007;DME GD ROUVIERE  AC COTES DE PROVENCE ROSE;2004;RSE;x 1;B10L;
1255;027008;DME GD ROUVIERE  AC COTES DE PROVENCE;2004;RSE;x 1;B05L;
1256;071904;VIN DE TABLE ROUGE MERLOT;2003;RGE;x 1;VRAC;
1257;071913;VIN DE TABLE ROUGE 12deg;2003;RGE;x 1;VRAC;
1258;042902;VDP VAUCLUSE ROUGE;2003;RGE;x 1;VRAC;
1259;071915;VDT ROSE 12deg;2003;RGE;x 1;VRAC;
1260;020001;CH DE LA COUR AV ST EMILION 98;1998;RGE;x 6;75 cl;
1261;025028;VINS DES PERSONNETS VDPOC BLANC;2003;BLC;x 6;75 cl;
1262;018190;BARONNIE D' AIGNAN BRUT ANTIQUE CREMANT DE LOIRE;0;BLC;x 6;75 cl;
1263;033002;CLOS LABARDE ST EMILION GRAND CRU;2002;RGE;x 6;75 cl;
1264;033003;CLOS LABARDE ST EMILION GRAND CRU;2002;RGE;x 6;37.5 cl;
1265;005020;CH PASSAVANT ANJOU VILLAGE RGE;0;RGE;x 6;37.5 cl;
1266;005019;CH PASSAVANT ANJOU VILLAGE RGE;0;RGE;x 6;75 cl;
1267;090018;DME MEZIAT AC MORGON;0;RGE;x 6;37.5 cl;
1268;064005;DME CLOSEL CLOS DU PAPILLON;0;BLC;x 6;75 cl;
1269;090000;DME ROCHE ST MARTIN BROUILLY;0;RGE;x 6;75 cl;
1270;090001;DME ROCHE ST MARTIN BROUILLY;0;RGE;x 6;75 cl;
1271;090048;DME DU MOULIN BERGER AC ST AMOUR;0;RGE;x 6;75 cl;
1272;090049;DME DU MOULIN BERGER AC ST AMOUR;0;RGE;x 6;37.5 cl;
1273;013701;CHABLIS GD CRU GRENOUILLE;0;BLC;x 6;75 cl;
1274;025011;DOMAINE DES DEUX ROCHES MACON VILLAGES;0;BLC;x 6;37.5 cl;
1275;068020;DOMAINE DUBREUIL FONTAINE AOP BOURG CHAPELLE NOTRE DAME;2002;RGE;x 6;75 cl;
1276;013100;LA CHAB AC CHABLIS PREMIER CRU GRANDE CUVEE;2002;BLC;x 6;75 cl;
1278;079003;DOMAINE CORNE LOUP TAVEL;2003;RGE;x 6;75 cl;
1279;079002;DOMAINE CORNE LOUP TAVEL;2003;RGE;x 24;37.5 cl;
1280;025035;VIN DE PAYS D'OC JEUNES VIGNES BLANC;0;BLC;x 6;75 cl;
1281;025036;VIN DE PAYS D'OC JEUNES VIGNES ROUGE;0;RGE;x 6;75 cl;
1282;093000;CH SEGONZAC AC 1ERE COTES DE BLAYE RGE;0;RGE;x 6;75 cl;
1283;093003;CH SEGONZAC AC 1 ERE COTES DE BLAYE RGE;0;RGE;x 24;37.5 cl;
1284;041007;CHATEAU TOUR DE PEZ AOP ST ESTEPHE;2009;RGE;x 24;37.5 cl;
1285;044002;VPOC CHARDONNAY D.DE CLAPIES;2007;BLC;x 6;75 cl;
1286;013485;LA CHABLISIENNE  AC CHABLIS 1ER CRU FOURCHAUME;2001;BLC;x 12;75 cl;
1287;013486;LA CHABLISIENNE  AC CHABLIS 1ER CRU FOURCHAUME;2001;BLC;x 24;37.5 cl;
1288;049006;CHATEAU FLAMAND BELLEVUE AOP BORDEAUX ROUGE;2001;RGE;x 6;75 cl;
1289;022000;DOMAINE LATOUR-GIRAUD MEURSAULT CUVEE CHARLES MAXIME;2001;BLC;x 6;75 cl;
1290;022001;DOMAINE LATOUR-GIRAUD MEURSAULT 1ER CRU LES CHARMES;0;BLC;x 6;75 cl;
1291;022003;DOMAINE LATOUR-GIRAUD MEURSAULT GENEVRIERES 1ER CRU;2003;BLC;x 6;75 cl;
1292;022010;DOMAINE LATOUR-GIRAUD PULIGNY MONTRACHET 1ER CRU CHAMPS CANET;2003;BLC;x 6;75 cl;
1293;022050;DOMAINE LATOUR-GIRAUD VOLNAY CLOS DES CHENES 1ER CRU;0;RGE;x 6;75 cl;
1294;022059;DOMAINE LATOUR-GIRAUD POMMARD VILLAGE;0;RGE;x 6;75 cl;
1295;045001;CHATEAU LAFARGUES PESSAC LEOGNAN;2000;RGE;x 6;75 cl;
1296;074015;BRUT DU FOUDRE AOP GIGONDAS;1999;RGE;x 6;75 cl;
1297;074020;SYTERRES AOP GIGONDAS;2001;RGE;x 6;75 cl;
1298;074025;AOP GIGONDAS;2003;RGE;x 1;B05L;
1299;016000;AOP BEAUJOLAIS NOUVEAU DOMAINE PAIRE BIO;2016;RGE;x 6 CB;75 cl;
1300;052021;CHATEAU RAMAGE LA BATISSE AC HAUT-MEDOC CRU BOURGEOIS;2010;RGE;x 6;75 cl;1
1301;052022;CHATEAU RAMAGE LA BATISSE AC HAUT-MEDOC CRU BOURGEOIS;2009;RGE;x 12;37.5 cl;
1302;052058;CHATEAU BELCIER AOP COTES DE CASTILLON CAISSE BOIS;2003;RGE;x 1;IMPERIALE;
1303;052381;CHATEAU FONGABAN AOP PUISSEGUIN ST EMILION;1999;RGE;x 24;37.5 cl;
1305;096009;AOP GRAVES CHATEAU DE L'HOSPITAL (SC);2004;BLC;x 6;75 cl;
1306;036002;AOP COTEAUX DU LANGUEDOC COL DU VENT;2014;RSE;x 6;75 cl;
1312;046010;AOP COTEAUX DU LANGUEDOC ROBE POURPRE;2013;RGE;x 6;75 cl;
1319;042050;CELLIER DES PRINCES VDP ORANGE;0;BLC;x 1;B10L;
1320;042060;CELLIER DES PRINCES VDP ORANGE MERLOT;0;RGE;x 1;B10L;
1321;052023;AOP HAUT MEDOC CRU BOURGEOIS RAMAGE LA BATISSE (SC);2000;RGE;x 12;37.5 cl;
1322;002017;VIN DE PAYS DU GARD CAVE GALLICIAN;0;RSE;x 1;B10L;
1323;002018;VIN DE PAYS DU GARD CAVE GALLICIAN;0;RSE;x 1;B05L;
1326;044005;DOMAINE DE CLAPIES PAYS D'OC CUVEE DES MONTILLES;0;RGE;x 1;B10L;
1327;009015;LES CHARMILLES AOP SANCERRE;2003;BLC;x 6;75 cl;
1328;009016;LES CHARMILLES AOP SANCERRE;2003;BLC;x 12;37.5 cl;
1329;090022;DOMAINE SANTE AOP MOULIN A VENT;0;RGE;x 12;37.5 cl;
1332;039020;IGP RIVESALTES  AMBRE;2003;BLC;x 6;75 cl;
1336;039028;IGP MAURY;2013;RGE;x 6;75 cl;
1337;039030;IGP MUSCAT DE RIVESALTES;2013;BLC;x 6;75 cl;
1342;052057;AOP COTES DE CASTILLON B DE BELCIER;2000;RGE;x 6;75 cl;
1346;083001;FAUGERES DE LAURENS AOP FAUGERES;2003;RGE;x 1;B10L;
1347;083002;FAUGERES DE LAURENS AOP FAUGERES;2003;RGE;x 1;B05L;
1348;083003;AOP FAUGERES CUVEE PRESTIGE DE LAURENS;2014;RGE;x 6;75 cl;
1349;083005;FAUGERES DE LAURENS AOP FAUGERES;2004;RSE;x 1;B10L;
1350;083006;FAUGERES DE LAURENS AOP FAUGERES;2004;RSE;x 1;B05L;
1351;083010;FAUGERES DE LAURENS AOP FAUGERES CUVEE PRESTIGE;2004;RSE;x 6;75 cl;
1353;025027;DOMAINE D'ANTUGNAC IGP CHARDONNAY;2004;BLC;x 6;75 cl;
1354;057080;BARON DE LYSSART DOUX AOP GAILLAC;2003;BLC;x 6;75 cl;
1357;085001;VDP JARDIN DE LA FRANCE SAUVIGNON FLEUR DE LYS;2004;BLC;x 1;B10L;
1358;085002;VDP JARDIN DE LA FRANCE SAUVIGNON FLEUR DE LYS;2004;BLC;x 1;B05L;
1360;061010;CASSYTA VDP DU TARN ET GARONNE;2004;RGE;x 6;75 cl;
1361;061014;CASSYTA VDP DU TARN ET GARONNE;2004;RSE;x 6;75 cl;
1362;061016;CASSYTA VDP DU TARN ET GARONNE;2004;BLC;x 6;75 cl;
1363;022054;DOMAINE LATOUR GIRAUD POMMARD REFENE 1ER CRU;2001;RGE;x 6;75 cl;
1364;022045;DOMAINE LATOUR GIRAUD MARANGES 1ER CRU LA FUSSIERE;2002;RGE;x 6;75 cl;
1365;062010;CHATEAU CARBON D'ARTIGUES AOP GRAVES;2003;RGE;x 6;75 cl;
1370;002003;VIN DE PAYS DU GARD CAVE GALLICIAN;0;RGE;x 1;B10L;
1371;002004;VIN DE PAYS DU GARD CAVE GALLICIAN;0;RGE;x 1;B05L;
1372;067003;DOMAINE DE LA CAMARETTE VDP VAUCLUSE;2004;RGE;x 1;B05L;
1373;051133;CLOS TRIMOULET AOP ST EMILION GRAND CRU;2011;RGE;x 6;150 cl;1
1374;051005;CHATEAU CHEVALIER ST GEORGES AOP MONTAGNE ST EMILION;2009;RGE;x 6;75 cl;
1375;051006;CHATEAU CHEVALIER ST GEORGES AOP MONTAGNE ST EMILION;2011;RGE;x 6;150 cl;
1376;040015;AOP COTES DE BOURG CARACTERE CHATEAU DE LA GRAVE;2012;RGE;x 6;75 cl;1
1382;068130;D FONTAINE AC PERNAND ILE DES VERGELESSES 1ER CRU;2002;RGE;x 6;75 cl;
1385;007021;DOMAINE DUSSOURT AOP GEWURZTRAMINER;2010;BLC;x 12;37.5 cl;
1386;007022;AOP PINOT GRIS DOMAINE DUSSOURT SC;2004;BLC;x 24;37.5 cl;
1387;092001;DOMAINE HAUT LIROU AOP COTEAUX LANGUEDOC PIC ST LOUP;2003;RGE;x 6;75 cl;
1388;025003;DOMAINE DEUX ROCHES AOP ST VERAN RIVES DE LONGSAULT;2013;BLC;x 6;75 cl;
1389;019005;CHATEAU LES HAUTS DE PEREY AOP BORDEAUX SUPERIEUR;2003;RGE;x 12;37.5 cl;
1391;092005;AOP COTEAUX DU LANGUEDOC L'ESPRIT HAUT LIROU;2010;RGE;x 6;75 cl;
1392;067100;LA FIGUIERE - HUILE D'OLIVE VIERGE EXTRA;0;BLC;x 6;75 cl;
1393;078010;CHANTECOTES AOP COTES DU RHONE;2004;RSE;x 6;75 cl;
1394;062025;CHATEAU CARBON D'ARTIGUES AOP BORDEAUX;2004;RSE;x 6;75 cl;
1395;050015;CHATEAU HAUT LIGNIERES AOP FAUGERES CUVEE XXL;0;RGE;x 6;75 cl;
1396;094001;AC MOULIS EN MEDOC TOUR GRANINS GRAND-POUJEAUX;2014;RGE;x 6;75 cl;1
1398;096010;CHATEAU DE ROUILLAC AOP PESSAC LEOGNAN;2000;RGE;x 6;150 cl;1
1399;025032;CHATEAU D'ANTUGNAC AOP LIMOUX;2004;BLC;x 24;37.5 cl;
1400;051130;CLOS TRIMOULET AOP ST EMILION GRAND CRU;2005;RGE;x 24;37.5 cl;
1401;049008;AOP BORDEAUX SUPERIEUR TRADITION CHATEAU LAUDUC;2012;RGE;x 12;37.5 cl;1
1402;049040;CHATEAU LAUDUC AOP BORDEAUX CLAIRET;2015;RSE;x 6;75 cl;
1404;052003;CHATEAU RAMAGE LA BATISSE AOP HAUT-MEDOC CRU BOURGEOIS;2004;RGE;x 1;IMPERIALE;
1406;094003;AOP MOULIS EN MEDOC GRAND POUJEAUX;2012;RGE;x 6;150 cl;1
1407;019030;COMTE AUGUSTE BORDEAUX SUPERIEUR;2000;RGE;x 6;75 cl;
1408;016030;LES VIGNERONS DU GRAND SUD AOP COTES DE PROVENCE;0;RSE;x 6;75 cl;
1411;080017;DOMAINE ST PIERRE AOP SANCERRE;0;RGE;x 6;150 cl;
1414;033005;CLOS LABARDE AOP ST EMILION GRAND CRU;2001;RGE;x 6;75 cl;
1415;033006;CLOS LABARDE AOP ST EMILION GRAND CRU;2001;RGE;x 6;37.5 cl;
1416;105001;CHATEAU LES HAUTS D'AGLAN AOP CAHORS;2002;RGE;x 6;75 cl;
1417;074040;VACQUEYRAS NOIR/OR;2003;RGE;x 6;75 cl;
1418;074041;VACQUEYRAS NOIR/OR;2003;RGE;x 12;37.5 cl;
1419;045005;CHATEAU LAFARGUE AOP PESSAC LEOGNAN;2004;BLC;x 6;75 cl;
1421;107003;AOP MARGAUX CRU BOURGEOIS CHATEAU DEYREM VALENTIN;2005;RGE;x 6;150 cl;
1422;053020;VIN DE TABLE ROUGE;2004;RGE;x 1;B10L;
1423;053021;VIN DE TABLE ROUGE;2004;RGE;x 1;B05L;
1424;053015;COUSINE BERTHE AOP ST CHINIAN;2003;RGE;x 6;75 cl;
1432;025033;AOP LIMOUX Aux Bons Hommes DOMAINE D'ANTUGNAC;2012;RGE;x 6;75 cl;
1433;075004;AOP MEDOC CHATEAU BREUIL RENAISSANCE;2014;RGE;x 6;150 cl;1
1434;075010;AOP MEDOC CRU BOURGEOIS CHATEAU LES CABANS;2008;RGE;x 6;75 cl;
1437;028015CB;AOP 1ERES COTES DE BLAYE LES BERTRANDS;2014;RGE;x 3 CB;75 cl;1
1438;028008;AOP COTES DE BLAYE CHATEAU LES BERTRANDS;0;RGE;x 1;B05L;
1443;075011;AOP MEDOC CRU BOURGEOIS CHATEAU LES CABANS;2013;RGE;x 6;150 cl;1
1444;043100;1ERES COTES DE BLAYE;0;RGE;x 1;B03L;
1445;043110;BORDEAUX;0;RGE;x 1;B03L;
1446;043120;BAILLI DE BOURG;0;RGE;x 1;B03L;
1447;043130;COTES DE BOURG;0;RGE;x 1;B03L;
1448;043140;BORDEAUX CLAIRET;0;RGE;x 1;B03L;
1449;074012;AOP GIGONDAS LA REFENCE;2012;RGE;x 6;75 cl;
1450;074013;AOP BEAUME DE VENISE TERRISSIMO;2014;RGE;x 6;75 cl;
1452;016009;CAVE CEZARENQUE VDT;2004;RSE;x 1;B10L;
1453;079004;DOMAINE CORNE LOUP TAVEL;2004;RSE;x 6;75 cl;
1454;079005;DOMAINE CORNE LOUP TAVEL;2004;RSE;x 12;37.5 cl;
1455;040017;AOP COTES DE BOURG FUT DE CHENE NECTAR;2012;RGE;x 6;75 cl;1
1456;001502;PANNIER CHAMPAGNE SELECTION BRUT;0;BLC;x 1 CB;150 cl;
1458;001504;COFFRET 3 BOUTEILLES CHAMPAGNE SELECTION BRUT;0;BLC;x 3 CB;75 cl;
1459;071006;BOISSERON MERLOT CABERNET 70/30;2004;RGE;x 1;VRAC;
1460;048015;CHATEAU GUIBEAU AOP PUISSEGUIN ST EMILION;2000;RGE;x 1 CB;150 cl;
1461;084001;AOP CORBIERES CASTELMAURE;0;RGE;x 1;B10L;
1462;084002;AOP CORBIERES CASTELMAURE;0;RGE;x 1;B05L;
1463;084005;LA BUVETTE;2013;RGE;x 12;75 cl;
1464;084006;AOP CORBIERES LE CASTELMAURE;2015;RGE;x 6;75 cl;
1465;084007;AOP CORBIERES LA POMPADOUR;2014;RGE;x 6;75 cl;
1466;114010;AOP TOURAINE SAUVIGNON DOMAINE DE LA CHAISE;0;BLC;x 1;B10L;
1467;114011;AOP TOURAINE SAUVIGNON DOMAINE DE LA CHAISE;0;BLC;x 1;B05L;
1468;010050;AOP VOUVRAY CLOS DE ROUGEMONT;2012;BLC;x 6;75 cl;
1470;057020;PRINCESSE EMILIE VIELLI FUT;0;RGE;x 6;75 cl;
1473;052024;CHATEAU RAMAGE LA BATISSE HAUT-MEDOC CRU BOURGEOIS;2009;RGE;x 1;150 cl;
1476;041015;CHATEAU LES HAUTS DE PEZ AOP ST ESTEPHE;2012;RGE;x 6;75 cl;
1477;044003;VPOC SYRAH D.DE CLAPIES;2006;RGE;x 6;75 cl;
1482;109003;EXPRESSION AC COSTIERES DE NIMES;2005;BLC;x 6;75 cl;
1484;067011;TEMPRANILLO;2005;RGE;x 6;75 cl;
1485;041008;CHATEAU TOUR DE PEZ AOP ST ESTEPHE;2006;RGE;x 12;37.5 cl;
1488;073010;CHATEAU TALBOT ST JULIEN 4 CRU CLASSE;2003;RGE;x 6;150 cl;
1491;078009;CHANTE BLANC VDP ORANGE;2005;BLC;x 6;75 cl;
1492;013850;LA CHABLISIENNE AC CHABLIS;0;BLC;x 1;B10L;
1494;116001;AOP CHINON LES GRAVES;2015;RGE;x 6;75 cl;
1496;117001;CUVEE BARON LAMORAL D'OSTREL AC CTX DU LANGU;2003;RGE;x 6;75 cl;
1499;001900;COFFRET 3 BOUTEILLES P5010;0;BLC;x 1;75 cl;
1502;109004;ELEGANCE AC COSTIERES DE NIMES;2004;RGE;x 6;75 cl;
1503;109005;HARMONIE AC COSTIERES DE NIMES;2001;RGE;x 6;75 cl;
1504;109010;AOP COSTIERES DE NIMES;2005;RGE;x 1;B10L;
1505;109011;AOP COSTIERES DE NIMES;2005;RGE;x 1;B05L;
1506;109012;AOP COSTIERES DE NIMES;2005;RSE;x 1;B10L;
1507;109013;AOP COSTIERES DE NIMES;2005;RSE;x 1;B05L;
1508;073020;CH LA TOUR L'ASPIC AC PAUILLAC 2eme vin;0;RGE;x 6;75 cl;
1509;113001;AOP MENETOU-SALON DOMAINE DU PRIEURE;2015;BLC;x 6;75 cl;
1510;113002;AOP MENETOU-SALON DOMAINE DU PRIEURE;2015;BLC;x 12;37.5 cl;
1511;113005;AOP MENETOU-SALON DOMAINE DU PRIEURE;2014;RGE;x 6;75 cl;
1512;113006;AOP MENETOU-SALON DOMAINE DU PRIEURE;2015;RGE;x 12;37.5 cl;
1515;118001;FINE ARMAGNAC ARIANE sans etui;0;RGE;x 6;70 cl;
1516;052500;CH PETIT FOMBRAUGE AC ST EMILION GD CRU;1998;RGE;x 6;75 cl;
1517;075012;AC MEDOC CRU BOURGEOIS CHATEAU LES CABANS;2005;RGE;x 12;37.5 cl;
1518;099004;DOMAINE VILLEMARIN IGP COTES DE THAU;2005;RGE;x 6;75 cl;
1520;119001;AOP MINERVOIS CUVEE PAUL DOMAINE DES HOMS;2014;RGE;x 6;75 cl;
1522;089901;AOP SAUMUR DOMAINE DE LA PALEINE;0;RGE;x 1;B05L;
1523;031026;LES ROCHES NOIRES AOP MUSCADET S&M/LIE;2005;BLC;x 6;75 cl;
1524;031027;LES ROCHES NOIRES AOP MUSCADET S&M/LIE;2005;BLC;x 12;37.5 cl;
1525;013059;LA CHABLISIENNE AC PETIT CHABLIS;0;BLC;x 1;B03L;
1526;025034;AOP LIMOUX TERRES AMOUREUSES;0;BLC;x 6;75 cl;
1527;089300;DOMAINE DE LA PALEINE AOP SAUMUR MULTA PAUCIS;0;BLC;x 6;75 cl;
1528;089400;DOMAINE DE LA PALEINE AOP CABERNET DE SAUMUR;0;RGE;x 6;75 cl;
1529;120001;AOP COTEAUX DU LANGUEDOC;2005;RSE;x 6;75 cl;
1530;031087;AOP MUSCADET SEVRE ET MAINE;2005;BLC;x 1;B10L;
1532;031088;VDP DU JARDIN DE LA FRANCE CEPAGE SAUVIGNON;2005;BLC;x 1;B10L;
1533;031089;VIN DE TABLE 11deg SEC BOISSELIERE;2005;BLC;x 1;B10L;
1534;013017;IGP BOURGOGNE CHARDONNAY;0;BLC;x 1;B10L;
1535;069017;AOP MUSCADET SEVRE ET MAINE;2007;BLC;x 1;B10L;
1536;121001;Cuvee Premiere AC CHAMPAGNE CHASSENAY D'ARCE;0;BLC;x 6;75 cl;
1537;049100;CHATEAU FLAMAND BELLEVUE AOP BORDEAUX;0;RGE;x 1;B10L;
1538;011009;AOP VOUVRAY SEC CUVEE LANTERNE;2004;BLC;x 6;75 cl;
1539;069002;DOMAINE DES AUDINIERES MOUSSEUX BRUT;0;BLC;x 6;75 cl;
1540;115007;ChAteau des Roques AOP VACQUEYRAS;2014;BLC;x 6;75 cl;
1541;078012;BEAUMES DE VENISE;2004;BLC;x 6;75 cl;
1542;042097;CHATEAUNEUF DU PAPE;2005;BLC;x 6;75 cl;
1543;069003;VDP JARDIN DE LA FRANCE BLANC;2005;BLC;x 1;B10L;
1544;012001;PIERRES CHAUDES IGP DUCHE D'UZES ROUGE;2003;RGE;x 6;75 cl;
1545;122001;ChAteau Viella AOP MADIRAN TRADITION;2004;RGE;x 6;75 cl;
1546;057004;CROIS XT SALVY AC GAILLAC ROUGE;2005;RGE;x 6;75 cl;
1547;089011;SAUMUR BLANC DOMAINE DE LA PALEINE;2002;BLC;x 12;37.5 cl;
1549;002021;AOP COSTIERES DE NIMES CUVEE PRESTIGE;2014;BLC;x 6;75 cl;
1550;007009;AOP PINOT BLANC DOMAINE DUSSOURT;2004;BLC;x 6;75 cl;
1551;124001;AOP MONTAGNE ST EMILION CHATEAU BECHEREAU;2012;RGE;x 6;75 cl;1
1552;124002;AOP BORDEAUX SUPERIEUR TRADITION CHATEAU BECHEREAU;2012;RGE;x 6;75 cl;1
1553;124005CB;AOP MONTAGNE ST EMILION CHATEAU BECHEREAU CAISSE BOIS;2011;RGE;x 3;75 cl;1
1556;087004;AC REUILLY LES BOUCHAUDS;2005;RGE;x 12;37.5 cl;
1557;092002;AOP COTEAUX DU  LANGUEDOC P.ST LOUP.M DES COSTES;2012;RGE;x 6;75 cl;
1559;096007;AOP GRAVES CHATEAU DE L'HOSPITAL;2009;RGE;x 6;150 cl;1
1560;110500;AOP BERGERAC CHATEAU LES MARNIERES;0;RGE;x 1;B10L;
1565;049001;CHATEAU LAUDUC AOP BORDEAUX SUPERIEUR CUVEE PRESTIGE;2002;RGE;x 6;75 cl;
1566;049002;CHATEAU GALIAS AOP BORDEAUX;2003;RGE;x 6;75 cl;
1568;052054;CHATEAU DE BELCIER AOP COTES DE CASTILLON;2007;RGE;x 12 CB;75 cl;1
1569;052300;CHATEAU HAUT BARADIEU AOP ST ESTEPHE CRU BOURGEOIS;2002;RGE;x 6;75 cl;
1570;074006;CAISSE BOIS INITIATION 6 BLLES + 6 VERRES;0;RGE;x 6;75 cl;
1571;074007;GIGONDAS Signature JERO CAISSE BOIS;2013;RGE;x 1;Jeroboam;
1572;074008;GIGONDAS NOIR ET OR CAISSE BOIS;2000074;RGE;x 1;150 cl;
1573;074009;GIGONDAS CAISSE BOIS;2000;RGE;x 1;Mathusalem;
1577;118002;FINE ARMAGNAC 40% vol Ariane avec etui;0;RGE;x 1;70 cl;
1578;118003;ARMAGNAC NAPOLEON BASQ. en etui;0;RGE;x 1;70 cl;
1579;118004;ARMAGNAC VSOP ARIANE en etui;0;RGE;x 1;70 cl;
1580;118005;ARMAGNAC 15 ANS D'AGE ARIANE en etui;0;RGE;x 1;70 cl;
1581;118006;ARMAGNAC 20 ANS D'AGE ARIANE en etui;0;RGE;x 1;70 cl;
1582;118007;ARMAGNAC 25 ANS D'AGE ARIANE en etui;0;RGE;x 1;70 cl;
1583;118008;ARMAGNAC MILLESIME 40% VOL Ariane en 70 cl;1966;RGE;x 1;70 cl;
1584;118009;ARMAGNAC MILLESIME 40% VOL Ariane 70 cl;1964;RGE;x 1;70 cl;
1586;071021;VDP GRENACHE;2005;RGE;x 1;VRAC;
1587;123005;EMILIE ROMAGNE PUJANELLO LAMBRUSCO ROSSO SECCO;0;RGE;x 12;75 cl;
1588;123010;VENETIE DANESE - BARDOLINO CHIARETTO DOC CUVEE LE;2005;RSE;x 6;75 cl;
1589;067008;AOP VENTOUX;2006;RSE;x 1;B10L;
1591;128001;AC PETIT CHABLIS DME SAVARY;2005;BLC;x 6;75 cl;
1592;128005;AC CHABLIS VIEILLES VIGNES DME SAVARY;2001;BLC;x 6;75 cl;
1593;128010;AC CHABLIS 1ER CRU FOURCHAUME DME SAVARY;2004;BLC;x 6;75 cl;
1594;052025;CHATEAU RAMAGE LA BATISSE AOP HAUT-MEDOC;2005;RGE;x 6;75 cl;
1595;052064;CHATEAU DE BELCIER AOP COTES DE CASTILLON;2005;RGE;x 6;150 cl;
1596;002005;VIN DE PAYS DU GARD;0;RGE;x 1;B20L;
1597;002019;VIN DE PAYS DU GARD;0;RSE;x 1;B20L;
1598;129001;CH DE MOUSSIE AC COSTIERES DE NIMES;2005;RGE;x 6;75 cl;
1599;129005;CH DE MOUSSIE AC COSTIERES DE NIMES;2007;RSE;x 6;75 cl;
1600;129010;CH MOUSSIE  AC COSTIERES DE NIMES;2007;BLC;x 6;75 cl;
1601;130001;LES VIGN DE POUZOLLES-MARGON VDP CHARDONNAY;2005;BLC;x 1;B10L;
1604;110501;AOP BERGERAC CHATEAU LES MARNIERES;0;RGE;x 1;B05L;
1605;115010;IGP VAUCLUSE CHATEAU DES ROQUES;0;RGE;x 1;B10L;
1608;050003;AOP FAUGERES HAUT LIGNIERES;2014;RSE;x 6;75 cl;
1609;046015;AOP COTEAUX DU LANGUEDOC DOMAINE ARCHIMBAUD;2014;RSE;x 6;75 cl;
1611;115011;IGP VAUCLUSE CHATEAU DES ROQUES;0;RGE;x 1;B05L;
1612;085003;GOURMETS  AOP TOURAINE GAMAY;0;RGE;x 6;75 cl;
1613;085004;GOURMETS  AOP TOURAINE SAUVIGNON;0;BLC;x 6;75 cl;
1614;085006;GOURMETS  AOP TOURAINE SAUVIGNON;0;BLC;x 6;37.5 cl;
